ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo,peak_coords_MDB
676,Piqueras,La Rioja,Villanueva de Cameros,1710,702,19.0,3.0,103,https://www.altimetrias.net/aspbk/verPuerto.asp?id=063,"(42.4561034,-2.4299118)",,"[-2.4299118,42.4561034]"
677,Puerto De Cortegana,Huelva,Gil Márquez,713,446,16.0,2.6,103,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1202,"(37.898871,-6.8088697)",,"[-6.8088697,37.898871]"
678,Portillo Boca Del Álamo,Jaén,río Víboras (Huertas Nuevas),939,380,4.8,7.9,103,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1132,"(37.594032,-3.9713081)",,"[-3.9713081,37.594032]"
681,Collado De Hoz,Cantabria,La Hermida,658,552,10.0,5.2,102,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1691,"(43.2460358,-4.5417279)",,"[-4.5417279,43.2460358]"
682,Santa Inés,Soria,Vinuesa,1755,565,10.0,5.0,102,https://www.altimetrias.net/aspbk/verPuerto.asp?id=036,"(42.0085641,-2.8027209)",,"[-2.8027209,42.0085641]"
685,Puerto De Alájar,Huelva,Llanos de Orullos,837,491,10.0,4.8,102,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1520,"(37.8849416,-6.6598954)",,"[-6.6598954,37.8849416]"
686,Krutzeta,Álava,Aramaio-Uribarri,697,372,4.7,7.9,101,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1949,"(43.0275459,-2.5812633)",,"[-2.5812633,43.0275459]"
688,Puerto Del Viento,Málaga,El Burgo,1061,489,13.0,3.6,100,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0234,"(36.7889788,-5.0484876)",,"[-5.0484876,36.7889788]"
689,Aralla,León,Villamanín,1542,411,21.0,1.8,100,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1662,"(42.9030257,-5.8371601)",,"[-5.8371601,42.9030257]"
692,Baños De Panticosa,Huesca,Panticosa,1639,514,10.0,5.0,100,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1359,"(42.7606191,-0.2334477)",,"[-0.2334477,42.7606191]"
694,Los Álamos,Murcia,Moratalla,1215,605,12.0,4.9,100,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1676,"(37.643624,-1.1373396)",,"[-1.1373396,37.643624]"
695,Monte Penedo Do Boi,A Coruña,A Ponte Aranga,621,356,4.4,8.0,98,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1457,"(43.2450673,-8.0011593)",,"[-8.0011593,43.2450673]"
696,Torre Miró,Castellón,Herbés,1249,444,8.6,5.1,98,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1077,"(40.6748623,-0.0601576)",,"[-0.0601576,40.6748623]"
700,Puerto De Las Abejas,Málaga,Río Grande (Este),822,629,14.0,4.2,97,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0264,"(36.7460078,-4.9278917)",,"[-4.9278917,36.7460078]"
703,Puerto Del Aire,Málaga,Serrato,930,439,8.4,5.2,97,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0541,"(37.0145803,-4.556373)",,"[-4.556373,37.0145803]"
704,Perdón-Erreniega,Navarra,Astrain,1031,514,8.4,6.0,96,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1707,"(42.7330528,-1.7190332)",,"[-1.7190332,42.7330528]"
707,Gorla,Gipuzkoa,Azkoitia,681,534,9.9,5.3,95,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0022,"(43.1372485,-2.373769)",,"[-2.373769,43.1372485]"
710,Remolcador,Castellón,Ludiente,988,650,19.0,3.3,94,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0634,"(40.0188288,-0.1409769)",,"[-0.1409769,40.0188288]"
712,Atxondo,Bizkaia,"Areatza (km 28,5 N-240)",423,280,4.1,6.7,94,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1485,"(43.1302284,-2.5856042)",,"[-2.5856042,43.1302284]"
714,Puerto Lobo,Granada,Viznar,1230,518,9.4,5.6,94,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0227,"(37.2247748,-3.5384428)",,"[-3.5384428,37.2247748]"
715,Santuari Del Far,Girona,Hostalets,1105,564,15.0,3.7,94,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0893,"(42.0210322,2.5366974)",,"[2.5366974,42.0210322]"
