ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
4715,Valle de Egüés,Navarra,Navarra,21418,53.2632,4.117543379683479,6,"[2601, 3068, 6807, 7563, 8351, 8508]",,"(42.82511849,-1.55206982)"
7029,Alfafar,Comunitat Valenciana,Valencia,21395,10.040967,1.7877728012807546,4,"[1469, 7231, 7734, 8540]",,"(39.42259817,-0.39004439)"
3188,Hernani,País Vasco,Gipuzkoa,20438,39.808211,3.559679407128972,31,"[334, 1362, 2719, 2722, 2724, 2728, 2730, 3147, 3407, 3605, 4198, 4988, 7133, 7243, 7611, 7620, 7621, 7629, 7630, 7631, 7636, 7639, 7640, 7641, 7648, 7658, 7659, 8244, 8287, 8913, 9654]",,"(43.26534468,-1.97612931)"
7090,Carcaixent,Comunitat Valenciana,Valencia,20436,59.254777,4.342964104929359,3,"[3543, 5903, 7231]",,"(39.12276198,-0.44698055)"
2787,Loja,Andalucía,Granada,20419,447.4949,11.934894955387303,7,"[1520, 3460, 3501, 3747, 4006, 4400, 6680]",,"(37.16628219,-4.15218743)"
7220,Requena,Comunitat Valenciana,Valencia,20405,814.4642,16.101285680349385,3,"[1472, 6010, 7661]",,"(39.48606411,-1.10026975)"
4894,Barañáin,Navarra,Navarra,20167,1.391567,0.6655437608308341,4,"[2231, 5366, 8115, 8407]",,"(42.80494064,-1.68657975)"
3219,Tolosa,País Vasco,Gipuzkoa,19816,37.3936,3.4500325688686098,23,"[334, 1360, 2728, 3147, 3605, 7133, 7177, 7243, 7342, 7348, 7611, 7620, 7621, 7629, 7630, 7631, 7641, 7648, 7658, 8244, 8287, 8576, 8913]",,"(43.13829669,-2.07170336)"
4689,Burlada,Navarra,Navarra,19541,2.1131,0.8201335547452303,5,"[6807, 7563, 8351, 8407, 8508]",,"(42.82500552,-1.61642189)"
7501,Amorebieta-Etxano,País Vasco,Bizkaia,19529,58.84479999999999,4.327913791847212,20,"[182, 311, 334, 385, 872, 1029, 1282, 1504, 1525, 3339, 3411, 3744, 4306, 7133, 7243, 8559, 8863, 8913, 8917, 8997]",,"(43.21819018,-2.73512007)"
2843,La Zubia,Andalucía,Granada,19330,20.1084,2.529958013040211,11,"[2764, 2784, 3434, 3447, 3454, 3499, 4127, 5938, 5941, 6393, 8326]",,"(37.12087703,-3.58508159)"
2689,Albolote,Andalucía,Granada,18962,78.584091,5.001403259923439,13,"[1520, 2784, 3449, 3460, 3501, 3747, 4006, 4400, 4759, 4761, 5889, 5938, 6680]",,"(37.23090185,-3.65748033)"
2705,Atarfe,Andalucía,Granada,18960,47.252015,3.878240367072735,11,"[1520, 3449, 3460, 3501, 3747, 4006, 4400, 4759, 4761, 5889, 6680]",,"(37.22271103,-3.6887337)"
2143,Boiro,Galicia,A Coruña,18884,86.578812,5.2496502120733215,3,"[432, 9347, 9590]",,"(42.64705741,-8.882717944)"
2213,Teo,Galicia,A Coruña,18632,79.2467,5.022444531354957,3,"[1157, 6291, 9322]",,"(42.79505474,-8.549002886)"
3231,Lasarte-Oria,País Vasco,Gipuzkoa,18594,6.005574,1.382616760417698,25,"[1362, 2722, 2724, 2728, 2730, 3147, 3605, 4198, 4988, 7611, 7620, 7621, 7629, 7630, 7631, 7636, 7639, 7640, 7641, 7646, 7648, 7658, 7659, 8244, 8287]",,"(43.26121128,-2.01808787)"
4427,San Lorenzo de El Escorial,Comunidad de Madrid,Madrid,18532,56.401833,4.237123913735756,3,"[336, 398, 2879]",,"(40.59254063,-4.14508803)"
2761,Guadix,Andalucía,Granada,18436,324.1961,10.158473427558194,4,"[3453, 5760, 7028, 8326]",,"(37.30161072,-3.13638082)"
1842,Benicasim,Comunitat Valenciana,Castellón,18364,36.2914,3.39880631841823,3,"[1441, 2045, 2049]",,"(40.05536597,0.0647391)"
230,la Nucia,Comunitat Valenciana,Alicante,18163,21.361299,2.607584467135581,6,"[629, 647, 1444, 1816, 1820, 9500]",,"(38.61761623,-0.12289748)"
1065,Sant Celoni,Cataluña,Barcelona,18136,65.417,4.5632038231545895,4,"[6723, 6727, 8108, 8378]",,"(41.6897174,2.4898404)"
26,Laudio,País Vasco,Álava,18118,37.56,3.457700300410097,7,"[1613, 3251, 3290, 4263, 4374, 5752, 7603]",,"(43.1425188,-2.96256495)"
7567,Mungia,País Vasco,Bizkaia,17665,44.4588,3.76186688695545,18,"[181, 872, 1521, 1572, 3252, 3253, 3338, 4191, 4629, 4934, 6933, 8119, 8604, 8724, 8863, 8866, 8997, 9618]",,"(43.35405947,-2.84769658)"
7245,Tavernes de la Valldigna,Comunitat Valenciana,Valencia,17254,49.23342400000001,3.958718093425402,5,"[1469, 3543, 5671, 5903, 7231]",,"(39.07256604,-0.26721943)"
7544,Gernika-Lumo,País Vasco,Bizkaia,17105,8.531799999999999,1.6479532567212491,24,"[311, 334, 385, 872, 1029, 1504, 1525, 3253, 3338, 3339, 3341, 3411, 4934, 7133, 7243, 8365, 8559, 8724, 8863, 8866, 8913, 8917, 8997, 9764]",,"(43.31451965,-2.68146436)"
7515,Bermeo,País Vasco,Bizkaia,16864,33.8079,3.2804517427274607,18,"[311, 334, 1521, 1525, 3253, 3338, 3339, 4629, 7133, 7243, 8119, 8365, 8791, 8866, 8913, 8917, 8997, 9764]",,"(43.42025856,-2.72254057)"
887,Berga,Cataluña,Barcelona,16760,22.539283,2.678518215242581,3,"[1489, 1511, 5935]",,"(42.10328874,1.8440247)"
3212,Pasaia,País Vasco,Gipuzkoa,16035,11.337639,1.8997036980975,16,"[211, 226, 253, 334, 2719, 2728, 3641, 3771, 4198, 7133, 7243, 7636, 7639, 7640, 8913, 9654]",,"(43.32495257,-1.91753163)"
7532,Ermua,País Vasco,Bizkaia,15847,6.4697000000000005,1.4350486594373344,12,"[334, 1076, 2774, 3411, 4894, 4964, 7133, 7243, 7646, 8913, 8917, 8997]",,"(43.18608445,-2.50233303)"
5055,San Martín del Rey Aurelio,Asturias,Asturias,15817,55.0487,4.185989065481178,7,"[825, 848, 2255, 2350, 3378, 3940, 4485]",,"(43.27495447,-5.60306902)"
3528,Baeza,Andalucía,Jaén,15791,192.7742,7.833376677436985,3,"[4354, 7569, 8765]",,"(37.99003004,-3.4693067)"
2738,Churriana de la Vega,Andalucía,Granada,15689,6.5667,1.4457664547606677,18,"[1520, 3434, 3449, 3460, 3467, 3499, 3501, 3747, 3927, 4006, 4127, 4400, 4759, 4761, 5257, 5889, 6680, 7028]",,"(37.14885746,-3.64581291)"
