ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
4298,Viveiro,,Lugo,15391,109.337724,5.899423454628479,4,"[1243, 5588, 8493, 9479]","[539, 742, 785, 418, 630, 584]","(43.66074911,-7.597307264)","[-7.597307264,43.66074911]"
5071,Villaviciosa,Asturias,Asturias,14470,276.227085,9.37686548793973,3,"[3378, 3502, 3940]","[1118, 726, 1023]","(43.48140933,-5.43480263)","[-5.43480263,43.48140933]"
2189,Noia,Galicia,A Coruña,14274,37.208406,3.441478720410819,5,"[432, 1302, 1538, 1955, 4470]","[96, 196, 740, 511, 1016]","(42.78519846,-8.887824814)","[-8.887824814,42.78519846]"
4910,O Barco de Valdeorras,Galicia,Ourense,13431,85.4292,5.214680751489411,3,"[1298, 5147, 5630]","[17, 407, 6, 32]","(42.41644671,-6.984649378)","[-6.984649378,42.41644671]"
4389,Moralzarzal,Comunidad de Madrid,Madrid,13334,42.556143,3.6804903692699376,3,"[4574, 5056, 7116]","[148, 157, 229, 116]","(40.68131412,-3.97279774)","[-3.97279774,40.68131412]"
3421,Jaca,Aragón,Huesca,13129,406.339712,11.372846830132069,7,"[3813, 5867, 6454, 7196, 7966, 8331, 8355]","[232, 193, 398, 634, 876, 129, 195]","(42.57073634,-0.54955746)","[-0.54955746,42.57073634]"
2141,Betanzos,Galicia,A Coruña,13053,24.211191,2.7760841900236586,3,"[4754, 9741, 10055]","[439, 785, 592, 672, 695]","(43.2791139,-8.210831839)","[-8.210831839,43.2791139]"
5026,Laviana,Asturias,Asturias,12882,131.0564,6.458827309694092,8,"[825, 848, 2255, 2350, 3378, 3940, 4485, 5609]","[145, 463, 545, 719, 416, 884, 1071, 1118, 1023, 1056]","(43.24549029,-5.56291541)","[-5.56291541,43.24549029]"
5005,Cangas del Narcea,Asturias,Asturias,12124,823.5785000000001,16.19112613661209,3,"[4662, 5402, 6043]","[746, 829, 104]","(43.1772214,-6.55205753)","[-6.55205753,43.1772214]"
7527,Etxebarri,País Vasco,Bizkaia,11691,3.2723,1.0205895378840109,15,"[181, 182, 1282, 1504, 1572, 1613, 3251, 3252, 3253, 4730, 6933, 8365, 8604, 9561, 9720]","[172, 606, 1084, 317, 338, 353, 121, 414, 757, 12, 290, 417, 848, 1096, 1110, 671, 805, 143, 264, 983, 589, 240, 327, 722, 927, 374, 358, 536]","(43.24590978,-2.89082182)","[-2.89082182,43.24590978]"
3165,Azkoitia,País Vasco,Gipuzkoa,11627,54.712548,4.173188733053021,18,"[334, 1075, 1106, 1199, 1200, 1360, 2774, 2930, 3147, 7133, 7243, 7611, 7627, 8244, 8247, 8291, 8913, 8917]","[178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 357, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 197, 1003, 480, 567, 992, 397, 823, 1090, 46, 449, 75, 707, 279, 373, 1042, 1043, 901, 699]","(43.17827102,-2.31225807)","[-2.31225807,43.17827102]"
