ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo
383,Ermida,Ourense,Petín,563,247,9.0,2.0,37,https://www.altimetrias.net/aspbk/verPuerto.asp?id=525,"[-7.178113,42.337906]",
385,Rigoitia,Bizkaia,Gernika,269,262,6.0,4.0,37,https://www.altimetrias.net/aspbk/verPuerto.asp?id=158,"[-2.721348,43.313719]",
386,Udana,Gipuzkoa,Oñati,509,264,6.0,3.0,36,https://www.altimetrias.net/aspbk/verPuerto.asp?id=548,"[-2.357867,43.015969]",
387,Humaran,Bizkaia,Arenao,252,201,7.0,2.0,36,https://www.altimetrias.net/aspbk/verPuerto.asp?id=225,"[-3.095634,43.234307]",
388,Vallençana,Barcelona,Badalona,256,241,5.0,4.0,36,https://www.altimetrias.net/aspbk/verPuerto.asp?id=631,"[2.22382,41.47965]",
389,Valberzoso,Palencia,Mata de Hoz,1228,225,5.0,3.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=218,"[-4.2459,42.8866]",
390,El Cerro De San Pedro,Madrid,Guadalix de la Sierra,1051,214,10.0,2.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=626,"[-3.751298,40.718659]",
391,Loiti,Navarra,Liédena,725,220,5.0,4.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=366,"[-1.400206,42.656539]",
392,Pedroso,A Coruña,Santiago de Compostela,460,229,5.0,4.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=614,"[-8.564895,42.898158]",
393,Artieta,Burgos,El Refugio (Artziniega),475,250,5.0,4.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=106,"[-3.188159,43.115614]",
394,Basakabi/Alto De Ezkurra,Navarra,Leitza,694,228,4.0,5.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=460,"[-1.880595,43.085695]",
395,La Pedraja,Burgos,Vilafranca de Montes de Oca,1150,225,5.0,4.0,35,https://www.altimetrias.net/aspbk/verPuerto.asp?id=597,"[-3.353748,42.36533]",
396,Aniz,Navarra,Oronoz-Mugaire,388,423,7.0,3.0,34,https://www.altimetrias.net/aspbk/verPuerto.asp?id=217,"[-1.577521,43.112442]",
397,Gabiria,Gipuzkoa,Ormaiztegi,423,221,5.0,4.0,33,https://www.altimetrias.net/aspbk/verPuerto.asp?id=659,"[-2.279609,43.050537]",
398,Navasa,Huesca,Jaca,1068,223,5.0,4.0,32,https://www.altimetrias.net/aspbk/verPuerto.asp?id=634,"[-0.481088,42.520709]",
400,El Carel,Burgos,Nava de Ordunte,450,220,6.0,3.0,29,https://www.altimetrias.net/aspbk/verPuerto.asp?id=122,"[-3.305697,43.121786]",
406,Pico Almadén,Jaén,Mancha Real,2038,1455,28.0,5.1,358,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1134,"[-3.5262832,37.7339022]",
407,Fonte Da Cova,Ourense,Pizarras Ipisa,1847,1487,23.0,6.5,345,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1372,"[-6.7376396,42.3197648]",
411,Ermita De Alba,Asturias,Bárzana,1196,762,6.7,11.0,294,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1696,"[-5.961613721094518,43.18370225]",
414,Belaustegi,Bizkaia,Ibarra (Orozko),751,513,4.8,10.0,275,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0953,"[-2.697365,43.1985589]",
416,Casielles,Asturias,Río Pendón. Fuensanta (N-634),727,512,3.7,13.0,273,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0641,"[-5.673665,43.285982]",
417,Monte Oiz,Bizkaia,Munitibar-Ganbe,1018,832,8.9,9.3,273,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0074,"[-2.5913922,43.2275871]",
418,Cruz De Barreiros,Lugo,Vileimil (río Eo),879,765,11.0,6.4,268,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1003,"[-7.2556173,43.5410158]",
424,Montdúver,Valencia,Simat,832,783,11.0,6.5,235,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0494,"[-0.266581,39.0091089]",
426,Encinas Borrachas,Málaga,San Pablo de Buceite (Sur),1026,976,42.0,2.3,231,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0415,"[-5.2145903,36.6752283]",
428,Askazubi,Gipuzkoa,Zubillaga,612,416,2.8,14.0,228,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1060,"[-2.4216290541355683,43.0704358]",
429,Font De L´Arbre,Alicante,Beniardà,1198,805,15.0,5.2,226,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1396,"[-0.2903534,38.6621795]",
430,Ventana,Asturias,San Martín de Teverga,1587,1137,19.0,5.7,224,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1809,"[-6.0431223,43.1006433]",
435,Fredes,Castellón,Pobla de Benifassà,1181,770,21.0,3.6,220,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=2013,"[0.1709828,40.7053962]",
436,Sta. Mariña Do Monte,Ourense,Cesures,928,606,5.8,10.0,220,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1713,"[-7.8256256,42.3215631]",
438,Cuitu Negru,León,Busdongo,1845,641,11.0,5.7,219,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1447,"[-5.7728311029872135,42.9791301]",
